"","center_title","city_morph"
0,г. Майкоп,Майкопе
1,г. Уфа,Уфе
2,г. Улан-Удэ,Улан-Удэ
3,г. Горно-Алтайск,Горно-Алтайске
4,г. Махачкала,Махачкале
5,г. Магас,Магасе
6,г. Нальчик,Нальчике
7,г. Элиста,Элисте
8,г. Черкесск,Черкесске
9,г. Петрозаводск,Петрозаводске
10,г. Сыктывкар,Сыктывкаре
11,г. Йошкар-Ола,Йошкар-Оле
12,г. Саранск,Саранске
13,г. Якутск,Якутске
14,г. Владикавказ,Владикавказе
15,г. Казань,Казани
16,г. Кызыл,Кызыле
17,г. Ижевск,Ижевске
18,г. Абакан,Абакане
19,г. Грозный,Грозном
20,г. Чебоксары,Чебоксарах
21,г. Барнаул,Барнауле
22,г. Краснодар,Краснодаре
23,г. Красноярск,Красноярске
24,г. Владивосток,Владивостоке
25,г. Ставрополь,Ставрополе
26,г. Хабаровск,Хабаровске
27,г. Благовещенск,Благовещенске
28,г. Архангельск,Архангельске
29,г. Астрахань,Астрахани
30,г. Белгород,Белгороде
31,г. Брянск,Брянске
32,г. Владимир,Владимире
33,г. Волгоград,Волгограде
34,г. Вологда,Вологде
35,г. Воронеж,Воронеже
36,г. Иваново,Иванове
37,г. Иркутск,Иркутске
38,г. Калининград,Калининграде
39,г. Калуга,Калуге
40,г. Петропавловск-Камчатский,Петропавловске-Камчатском
41,г. Кемерово,Кемерово
42,г. Киров,Кирове
43,г. Кострома,Костроме
44,г. Курган,Кургане
45,г. Курск,Курске
46,г. Санкт-Петербург,Санкт-Петербурге
47,г. Липецк,Липецке
48,г. Магадан,Магадане
49,г. Москва,Москве
50,г. Мурманск,Мурманске
51,г. Нижний Новгород,Нижнем Новгороде
52,г. Великий Новгород,Великом Новгороде
53,г. Новосибирск,Новосибирске
54,г. Омск,Омске
55,г. Оренбург,Оренбурге
56,г. Орёл,Орле
57,г. Пенза,Пензе
58,г. Пермь,Перми
59,г. Псков,Пскове
60,г. Ростов-на-Дону,Ростове-на-Дону
61,г. Рязань,Рязани
62,г. Самара,Самаре
63,г. Саратов,Саратове
64,г. Южно-Сахалинск,Южно-Сахалинске
65,г. Екатеринбург,Екатеринбурге
66,г. Смоленск,Смоленске
67,г. Тамбов,Тамбове
68,г. Тверь,Твери
69,г. Томск,Томске
70,г. Тула,Туле
71,г. Тюмень,Тюмени
72,г. Ульяновск,Ульяновске
73,г. Челябинск,Челябинске
74,г. Чита,Чите
75,г. Ярославль,Ярославле
76,г. Москва,Москве
77,г. Санкт-Петербург,Санкт-Петербурге
78,г. Биробиджан,Биробиджане
79,г. Нарьян-Мар,Нарьян-Маре
80,г. Ханты-Мансийск,Ханты-Мансийске
81,г. Анадырь,Анадыре
82,г. Салехард,Салехарде
83,г. Керчь,Керчи
84,г. Севастополь,Севастополе
